#trxnhash,trxntype,received_datetime,confirmed_datetime,sending_address,receiving_address,BTC,EUR,USD,count,family
0840c4591a88b190c56f522bf8ed573b83c0bb785abb15813c22ab5dbaa833a9,incoming,2022-02-14 16:11:26.581000+00:00,2022-02-14 16:17:04+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q73c2ug7zl2za9je872kdcwy0gc05z2rm87nfsu', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,2.06,2.32,1,DeadBolt
8dd23be8faad01ebe1ced7ca28c817fce59edb6ef9400f8004b737954bf00acb,incoming,2022-02-15 21:08:25.829000+00:00,2022-02-15 21:16:22+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qzqa4kyh7xuq0wtje6je49du2vru79gmrn0fvx8']",5.46e-05,2.14,2.43,1,DeadBolt
2f77312d23af98dccd4fa97e1e75bb81dd429190b0addf2f2b8c0cee2f5ddaab,incoming,2022-02-05 00:49:16+00:00,2022-02-05 00:49:16+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q7n0hrfmfcza7488cg7s879dtr5zlkjpt52465z', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.98,2.26,1,DeadBolt
1263c6e7e4650e3e05f51f3e4da8ad5a68ab0df8bd83c8113b7ec7f102984eee,incoming,2022-02-04 14:01:17+00:00,2022-02-04 14:01:17+00:00,['bc1q9yn6zdkjjlh0z5y6sqpdvwq7pwkeh5r0ka28ad'],"['bc1q9yn6zdkjjlh0z5y6sqpdvwq7pwkeh5r0ka28ad', '3PQWBeVTUgKzgg4dG2FBP6jw9EYwHLfgzQ', '37o9fCr7VySahCLGH5aLDFETWD8cu1crRc', '34bRuxPVtfdDiYg7NcFh82Y4Bs4M4DwjMh', 'bc1qncney96uyt5xvzupw8hy508y7vfhtr5dx70snd', 'bc1qhgggv0grsegsrtlzk3u73l933gxy3jcr924kn5', 'bc1qjr5gcn0t4sa6dkm3zzf95qt5sxwmle3hv4rwj0', 'bc1qjxa0h2fyncepautmlg55nml2gxvga6t808hgyqkydawjkwkznfsqjpx870', 'bc1q7n0hrfmfcza7488cg7s879dtr5zlkjpt52465z', 'bc1qhs59u6ptf5y4gl40cpv3wm2cu5vatqfrsvja64']",0.03,985.71,1137.58,1,DeadBolt
a8038a830b15c1f0f7c4684b36cd5ac33d6d6edd85678c0c1c16ebbb9018fd0f,incoming,2022-04-06 12:06:16.634000+00:00,2022-04-06 12:20:58+00:00,['1NLNuruQpnkurq9n48Kb8xRZwPk4PTM53'],"['bc1qpqznncpsrr8phdxnqfedyw9eu6328s8jtmp388', 'bc1qcdve3qn83g44gmzrmqsces3rh2r6qm93j9jcul']",0.03,1189.06,1295.33,1,DeadBolt
49791711c452eb2f8899ed4c408a0beba380a455f1fb88101489f79ba745eedb,incoming,2022-02-02 13:02:08+00:00,2022-02-02 13:02:08+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qcdve3qn83g44gmzrmqsces3rh2r6qm93j9jcul', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,1.79,2.02,1,DeadBolt
dd7c5f7a67e2d2ecdbd9b02e2202cb9c7a9809804d0fb3327973b30b97a98ff1,incoming,2022-02-02 08:50:11+00:00,2022-02-02 08:50:11+00:00,['bc1qetgxd5n4dzlgn8d3aqdesspmzza3us897gh08c'],"['bc1q677pmcdx7zylmdz495kzpe699alemts00cvnd0', 'bc1qcdve3qn83g44gmzrmqsces3rh2r6qm93j9jcul']",0.03,980.87,1107.55,1,DeadBolt
1a293cac06efa6922f7cf7e141e6bf5703308fc6508e678db455a178eda6a4a1,incoming,2022-10-13 17:13:42.277000+00:00,2022-10-13 17:22:02+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl', 'bc1qmwg83ldft2dzk7hdcrhw5wtz8pmkqel5vxz5r5']",5.46e-05,1.08,1.06,1,DeadBolt
7778476e92047b40a54154520887da6ce9a770146da7f48e04a67d01a3615b14,incoming,2022-03-19 14:33:47.804000+00:00,2022-03-19 14:34:06+00:00,['bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl'],"['bc1q4tfql4rfmca9dk9dnhj5eysp85t45vr73s3g4n', 'bc1qh6pku7gg2d6pw87z3t4f6d4rk6c48ajvsmfjjl']",5.46e-05,2.09,2.31,1,DeadBolt
0d4d38dcfb5c14ed79900d5d1132ed8fac72121963a290035ad6e3f42817f3ae,incoming,2022-03-19 14:32:57.815000+00:00,2022-03-19 14:34:06+00:00,['bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf'],"['bc1q4tfql4rfmca9dk9dnhj5eysp85t45vr73s3g4n', '12zvZXvzvmfa5z3yHrNsy9XpQASj6m9kJj', 'bc1q8neqh0ceeulqfu4yfjtfudm7snung95e7t4r98', 'bc1q7cyrfmck2ffu2ud3rn5l5a8yv6f0chkp0zpemf']",0.03,1145.86,1267.05,1,DeadBolt
