'eventId','timestamp','srcIp','srcName','dstIp','dstName','srcPort','dstPort','sigName','sigId','status_type','status_value',
'6578365050481851','1558129422.755','172.20.96.4','','10.46.13.34','','37926','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','0','0',
'6578365050481855','1558129422.755','172.20.96.4','','10.46.13.34','','37926','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','0','0',
'6567504096608174','1557403380.722','192.168.153.245','','10.46.13.48','','51998','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096608176','1557403380.722','192.168.153.245','','10.46.13.48','','51998','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096608147','1557403338.672','192.168.153.245','','10.46.13.33','','63528','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096608148','1557403338.672','192.168.153.245','','10.46.13.33','','63528','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096608116','1557403306.202','192.168.153.245','','10.46.13.16','','59833','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096608118','1557403306.202','192.168.153.245','','10.46.13.16','','59833','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096608091','1557403265.889','192.168.153.245','','10.46.13.5','','55232','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096608092','1557403265.889','192.168.153.245','','10.46.13.5','','55232','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607960','1557403120.151','192.168.153.245','','10.46.8.206','','54959','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607961','1557403120.151','192.168.153.245','','10.46.8.206','','54959','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607929','1557403079.102','192.168.153.245','','10.46.8.187','','50293','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607931','1557403079.102','192.168.153.245','','10.46.8.187','','50293','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607903','1557403049.08','192.168.153.245','','10.46.8.172','','63147','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607904','1557403049.08','192.168.153.245','','10.46.8.172','','63147','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607878','1557403016.855','192.168.153.245','','10.46.8.162','','59378','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607880','1557403016.855','192.168.153.245','','10.46.8.162','','59378','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607843','1557402976.471','192.168.153.245','','10.46.8.152','','54907','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607844','1557402976.471','192.168.153.245','','10.46.8.152','','54907','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607812','1557402940.175','192.168.153.245','','10.46.8.121','','50783','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607813','1557402940.175','192.168.153.245','','10.46.8.121','','50783','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607796','1557402910.323','192.168.153.245','','10.46.8.104','','63664','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607799','1557402910.323','192.168.153.245','','10.46.8.104','','63664','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607779','1557402878.447','192.168.153.245','','10.46.8.88','','60058','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607781','1557402878.447','192.168.153.245','','10.46.8.88','','60058','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607731','1557402843.657','192.168.153.245','','10.46.8.84','','56111','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607732','1557402843.657','192.168.153.245','','10.46.8.84','','56111','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607690','1557402813.766','192.168.153.245','','10.46.8.67','','52677','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607692','1557402813.766','192.168.153.245','','10.46.8.67','','52677','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607680','1557402783.032','192.168.153.245','','10.46.8.57','','65513','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607682','1557402783.032','192.168.153.245','','10.46.8.57','','65513','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607666','1557402749.84','192.168.153.245','','10.46.8.45','','61762','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607668','1557402749.84','192.168.153.245','','10.46.8.45','','61762','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607631','1557402715.916','192.168.153.245','','10.46.8.34','','57866','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607634','1557402715.916','192.168.153.245','','10.46.8.34','','57866','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607616','1557402681.747','192.168.153.245','','10.46.8.18','','54011','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607618','1557402681.747','192.168.153.245','','10.46.8.18','','54011','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607593','1557402631.768','192.168.153.245','','10.46.8.7','','64669','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607595','1557402631.768','192.168.153.245','','10.46.8.7','','64669','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607446','1557402479.086','192.168.153.245','','10.46.12.166','','63574','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607448','1557402479.086','192.168.153.245','','10.46.12.166','','63574','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607376','1557402340.252','192.168.153.245','','10.46.12.48','','64067','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607378','1557402340.252','192.168.153.245','','10.46.12.48','','64067','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096607355','1557402291.892','192.168.153.245','','10.46.12.25','','58622','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096607356','1557402291.892','192.168.153.245','','10.46.12.25','','58622','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096605798','1557399307.695','192.168.153.245','','10.46.8.197','','61575','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
'6567504096605799','1557399307.695','192.168.153.245','','10.46.8.197','','61575','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096605789','1557399276.638','192.168.153.245','','10.46.8.187','','58000','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (Generic Flags)','1:2025992','4','4',
'6567504096605790','1557399276.638','192.168.153.245','','10.46.8.187','','58000','445','ET EXPLOIT Possible ETERNALBLUE Probe MS17-010 (MSF style)','1:2025649','4','4',
